"","Date","Open","High","Low","Close","PercentChange"
"1","1/25/2023",33538.36,33773.09,33273.21,33743.84,0.0292879934641453
"2","1/24/2023",33444.72,33782.92,33310.56,33733.96,0.310441171398024
"3","1/23/2023",33439.56,33782.88,33316.25,33629.56,0.761247250602163
"4","1/20/2023",33073.46,33381.95,32948.93,33375.49,1.00146589937951
"5","1/19/2023",33171.35,33227.49,32982.05,33044.56,-0.758027159236163
"6","1/18/2023",33948.49,34016.53,33269.9,33296.96,-1.81030555117315
"7","1/17/2023",34222.32,34269.97,33860.67,33910.85,-1.14207053049317
"8","1/13/2023",34075.31,34342.32,33915.49,34302.61,0.329453345527941
"9","1/12/2023",34047.86,34292.67,33792.1,34189.97,0.638624602294584
"10","1/11/2023",33754.03,33974.69,33711.04,33973.01,0.797855453787532
"11","1/10/2023",33516.43,33726.54,33421.8,33704.1,0.556274082461023
"12","1/9/2023",33664.39,33935.11,33487.66,33517.65,-0.335884481429267
"13","1/6/2023",33055.3,33710.66,32997.39,33630.61,2.12732553337252
"14","1/5/2023",33191.72,33191.72,32812.33,32930.08,-1.02101697727395
"15","1/4/2023",33165.14,33409.1,33033.48,33269.77,0.40257879785865
"16","1/3/2023",33148.9,33387.52,32850.57,33136.37,-0.032823235713362
"17","12/30/2022",33121.61,33152.55,32847.82,33147.25,-0.221397437749852
"18","12/29/2022",33021.43,33293.42,33020.35,33220.8,1.04968075214194
"19","12/28/2022",33264.76,33379.55,32869.15,32875.71,-1.10058011717861
"20","12/27/2022",33224.23,33387.72,33069.58,33241.56,0.11332995823084
"21","12/23/2022",32961.06,33226.14,32814.02,33203.93,0.534221643848813
"22","12/22/2022",33233.35,33233.35,32573.43,33027.49,-1.04561655393261
"23","12/21/2022",33028.09,33437.84,33028.09,33376.48,1.60348301082445
"24","12/20/2022",32735.24,32992.23,32649.45,32849.74,0.281461916859438
"25","12/19/2022",32921.45,33038.94,32581.97,32757.54,-0.494889804091432
"26","12/16/2022",33166.46,33166.46,32654.59,32920.46,-0.848617953859718
"27","12/15/2022",33773,33773,33016.16,33202.22,-2.24966768581257
"28","12/14/2022",34086.07,34395.65,33704.17,33966.35,-0.41716702864729
"29","12/13/2022",34268.44,34712.28,33890.88,34108.64,0.304660720881371
"30","12/12/2022",33519.5,34005.04,33519.5,34005.04,1.57896026043375
"31","12/9/2022",33746.71,33844.63,33462.65,33476.46,-0.902920771973294
"32","12/8/2022",33695.97,33899.17,33642.46,33781.48,0.546343345064233
"33","12/7/2022",33556.4,33774.27,33503.67,33597.92,0.00470289323182747
"34","12/6/2022",33936.87,34006.63,33418.59,33596.34,-1.03325468154865
"35","12/5/2022",34335.73,34335.73,33846.81,33947.1,-1.40221226446331
"36","12/2/2022",34265.45,34483.21,34039.73,34429.88,0.101380985206852
"37","12/1/2022",34533.59,34595.51,34129.35,34395.01,-0.563056649408177
"38","11/30/2022",33795.43,34589.77,33583.77,34589.77,2.17779882330803
"39","11/29/2022",33847.8,33933.91,33662.45,33852.53,0.00906956861350139
"40","11/28/2022",34275.91,34303.88,33799.35,33849.46,-1.44865509477821
"41","11/25/2022",34213.04,34386.51,34199.57,34347.03,0.447358400845063
"42","11/23/2022",34091.57,34262.07,34004.64,34194.06,0.281423305110839
"43","11/22/2022",33810.05,34115.7,33810.05,34098.1,1.18046496943052
"44","11/21/2022",33760.3,33864.59,33559.18,33700.28,-0.134565332639527
